fullName,email,company,position,salary
"Ubogi Kamiński",ubogi.kaminski@example.com,"TechCorp",PROGRAMISTA,2000.00
"Glenna Reichert",Chaim_McDermott@dana.io,"Yost and Sons",PROGRAMISTA,8000.00
"Clementina DuBuque",Rey.Padberg@karina.biz,"Hoeger LLC",PROGRAMISTA,8000.00
"Anna Nowak",anna.nowak@techcorp.com,"TechCorp",PROGRAMISTA,8500.00
"Canna Nowak",canna.nowak@example.com,"DataSoft",PREZES,23000.00
"Kurtis Weissnat",Telly.Hoeger@billy.biz,"Johns Group",PROGRAMISTA,8000.00
"Anna Nowak",anna.nowak@example.com,"DataSoft",MANAGER,13000.00
"Jan Kowalski",jan.kowalski@techcorp.com,"TechCorp",MANAGER,12500.00
"Nicholas Runolfsdottir V",Sherwood@rosamond.me,"Abernathy Group",PROGRAMISTA,8000.00
"Jan Kowalski",jan.kowalski@example.com,"TechCorp",PROGRAMISTA,9000.00
"Banna Nowak",banna.nowak@example.com,"DataSoft",MANAGER,14000.00
"Chelsey Dietrich",Lucio_Hettinger@annie.ca,"Keebler LLC",PROGRAMISTA,8000.00
"Patricia Lebsack",Julianne.OConner@kory.org,"Robel-Corkery",PROGRAMISTA,8000.00
"Ervin Howell",Shanna@melissa.tv,"Deckow-Crist",PROGRAMISTA,8000.00
"Leanne Graham",Sincere@april.biz,"Romaguera-Crona",PROGRAMISTA,8000.00
"Clementine Bauch",Nathan@yesenia.net,"Romaguera-Jacobson",PROGRAMISTA,8000.00
"Mrs. Dennis Schulist",Karley_Dach@jasper.info,"Considine-Lockman",PROGRAMISTA,8000.00
"Wojtek Kamiński",wojtek.kaminski@example.com,"TechCorp",PROGRAMISTA,20000.00
